Entity,Label,Count,Average_Score
"charophytes,",FOSSEIS,1,"0,7021"
Chalcedony,MINERAIS,1,"0,5627"
Barite,MINERAIS,1,"0,9266"
bivalves.,FOSSEIS,1,"0,9969"
talc,MINERAIS,1,"0,5911"
molds,FOSSEIS,1,"0,6547"
arenites.,ROCHA,1,"0,6493"
peloid.,NAO_CONSOLID,1,"0,6652"
cracks.,ESTRUTURA_FISICA,1,"0,9831"
"muscovite,",MINERAIS,1,"0,7870"
"Quartz,",MINERAIS,1,"0,9488"
Celestine,MINERAIS,1,"0,5233"
"sparites,",ROCHA,1,"0,5551"
cataclastic,TEXTURA,1,"0,7509"
Grainstones.,ROCHA,1,"0,9470"
Dolostones.,ROCHA,1,"0,8336"
"Travertines,",ROCHA,1,"0,9941"
"GrupoLagoaFeia,",UNIDADE_LITO,1,"0,9904"
oceanic,PALEOAMBIENTE,1,"0,9210"
PlioPleistocene,UNIDADE_CRONO,1,"0,8895"
Mesoproterozoic,UNIDADE_CRONO,1,"0,9793"
smectites,ROCHA,1,"0,8133"
NangNuan,CAMPO,1,"0,5435"
silcrete,MINERAIS,1,"0,9549"
Ostracodes,FOSSEIS,1,"0,9992"
transicionais,PALEOAMBIENTE,1,"0,8695"
Mesozo,UNIDADE_CRONO,1,"0,9795"
kerolite,ROCHA,1,"0,5140"
carbonate.,ROCHA,1,"0,4989"
tufa,ROCHA,1,"0,6458"
quinas,FOSSEIS,1,"0,6789"
Mero,CAMPO,1,"0,7980"
SantosBasin.,BACIA,1,"0,7923"
Aptian-aged,UNIDADE_CRONO,1,"0,9565"
Cenomanian,UNIDADE_CRONO,1,"0,6457"
Frade,UNIDADE_CRONO,1,"0,5022"
Maastrichtian,UNIDADE_CRONO,1,"0,6640"
Pre-Cambrian,UNIDADE_CRONO,1,"0,9629"
miliolid,MINERAIS,1,"0,5057"
"gypsum,",MINERAIS,1,"0,5592"
"Peloids,",FOSSEIS,1,"0,8031"
Paleoce,UNIDADE_CRONO,1,"0,9801"
Aptianos,UNIDADE_CRONO,1,"0,9963"
Barremianos,UNIDADE_CRONO,1,"0,9739"
GrupoLagoaFeia,UNIDADE_LITO,1,"0,8857"
Lacustres,PALEOAMBIENTE,1,"0,9204"
Maastrichtianos,UNIDADE_CRONO,1,"0,8765"
BaciadeSalta,BACIA,1,"0,9589"
"feldspars,",MINERAIS,1,"0,7528"
"framestone,",ROCHA,1,"0,8930"
bindstone,ROCHA,1,"0,7344"
"sparstone,",ROCHA,1,"0,6857"
"tufa,",ROCHA,1,"0,8821"
Calcirudites,ROCHA,1,"0,5284"
"crustone,",ROCHA,1,"0,8982"
spherulstone,ROCHA,1,"0,5632"
lutites,ROCHA,1,"0,8883"
ticas,ROCHA,1,"0,6710"
calcarias,NAO_CONSOLID,1,"0,5484"
paleoce,UNIDADE_CRONO,1,"0,9795"
"Namibe,",BACIA,1,"0,5127"
"Kwanza,",BACIA,1,"0,9538"
Congo,BACIA,1,"0,7166"
Gabon,BACIA,1,"0,7302"
"SB-A1,",POÇO,1,"0,9669"
wackestonespackstones,ROCHA,1,"0,6359"
mudlimestones,ROCHA,1,"0,5058"
"framestones,",ROCHA,1,"0,8066"
"shells,",FOSSEIS,1,"0,3417"
pre-Aptian,UNIDADE_CRONO,1,"0,5132"
Barremian-aged,UNIDADE_CRONO,1,"0,9994"
BRSA-944-RJS,POÇO,1,"0,4779"
2ANP1,POÇO,1,"0,9092"
fluvial-deltaic,PALEOAMBIENTE,1,"0,8629"
BarremianUpperAratu,UNIDADE_CRONO,1,"0,9579"
"9-BRSA-1159-RJS,",POÇO,1,"0,9742"
"marls,",ROCHA,1,"0,4696"
calcilutites,ROCHA,1,"0,7623"
"3-BRSA1053-RJS,",POÇO,1,"0,9983"
3-BRSA-1195,POÇO,1,"0,9976"
Candonacentroimpressa,FOSSEIS,1,"0,9534"
Cyprideisfrugosa,FOSSEIS,1,"0,7388"
"gastropods,",FOSSEIS,1,"0,7491"
coquinacarbonates.,ROCHA,1,"0,8617"
3-BRSA944-RJS.,POÇO,1,"0,9983"
"3-BRSA-944A-RJS,",POÇO,1,"0,9945"
9-BRSA1159-RJS,POÇO,1,"0,9862"
3-BRSA-944ARJS,POÇO,1,"0,9977"
3-BRSA-944-RJS,POÇO,1,"0,9973"
Barremian-,UNIDADE_CRONO,1,"0,9220"
baciaSergipeAlagoa,BACIA,1,"0,9994"
baciaSergipeAlagoas,BACIA,1,"0,9975"
karst,ROCHA,1,"0,9179"
Wackestone,ROCHA,1,"0,6588"
"clay,",NAO_CONSOLID,1,"0,7549"
Toarcian,UNIDADE_CRONO,1,"0,9984"
CamposBasins.,BACIA,1,"0,9586"
FormationSantos,UNIDADE_LITO,1,"0,8994"
FormationCampos,UNIDADE_LITO,1,"0,7354"
"Palaeoproterozoic,",UNIDADE_CRONO,1,"0,9799"
NamibeBasin,BACIA,1,"0,5689"
SergipeAlagoasBasin,BACIA,1,"0,9609"
cementstones.,ROCHA,1,"0,8511"
floatstone,ROCHA,1,"0,6269"
flint,ROCHA,1,"0,6985"
chalks,NAO_CONSOLID,1,"0,4147"
BMS-22,POÇO,1,"0,9634"
3-ESSO-004-SPS,POÇO,1,"0,7670"
"cracks,",ESTRUTURA_FISICA,1,"0,8726"
boundstone.,ROCHA,1,"0,4841"
SB-2,POÇO,1,"0,6775"
Bonneville,BACIA,1,"0,5516"
CO2.,FLUIDODATERRA,1,"0,6141"
magnesiumsmectite,MINERAIS,1,"0,9288"
Camposbasin,BACIA,1,"0,8396"
Ellimmalongipectoralis,FOSSEIS,1,"0,9321"
"water,",FLUIDODATERRA,1,"0,9797"
Mudstones,ROCHA,1,"0,8819"
ANP-1,POÇO,1,"0,9740"
Faults,ESTRUTURA_FISICA,1,"0,5980"
wedging,ESTRUTURA_FISICA,1,"0,6052"
failure,ESTRUTURA_FISICA,1,"0,9788"
"ostracod,",FOSSEIS,1,"0,9919"
playa-lake,PALEOAMBIENTE,1,"0,9628"
Retiro,UNIDADE_LITO,1,"0,5244"
"mudrocks,",ROCHA,1,"0,9259"
Bivalve-gastropod,FOSSEIS,1,"0,9814"
Sphalerite,ROCHA,1,"0,5578"
Svanbergite,ROCHA,1,"0,5437"
Zeolite,ROCHA,1,"0,6522"
"dolostones,",ROCHA,1,"0,6537"
Laminations,ESTRUTURA_FISICA,1,"0,8365"
"microcrystalline,",TEXTURA,1,"0,4300"
Silurian,UNIDADE_CRONO,1,"0,9496"
Chert,ROCHA,1,"0,7242"
magnesite.,MINERAIS,1,"0,7945"
"magnesite,",MINERAIS,1,"0,8034"
radiolaria,FOSSEIS,1,"0,8745"
spiculessubae,FOSSEIS,1,"0,9297"
"zeolite,",MINERAIS,1,"0,5953"
bitumen,MINERAIS,1,"0,5284"
Permian.,UNIDADE_CRONO,1,"0,9162"
SantonianCampanian.,UNIDADE_CRONO,1,"0,8930"
Continental-oceanic,PALEOAMBIENTE,1,"0,5318"
Mioceno,UNIDADE_CRONO,1,"0,9992"
oolites,FOSSEIS,1,"0,8209"
paleocontinent,PALEOAMBIENTE,1,"0,8681"
Mesozoic.,UNIDADE_CRONO,1,"0,9990"
"SB-E1,",POÇO,1,"0,7874"
"SBE1,",POÇO,1,"0,6030"
Shrubstones,ROCHA,1,"0,7418"
shrubstone.,ROCHA,1,"0,9769"
aragonite.,MINERAIS,1,"0,6094"
cobbles.,ROCHA,1,"0,9348"
pebbles,ROCHA,1,"0,5869"
cobbles,ROCHA,1,"0,9589"
BVE-200,POÇO,1,"0,6256"
Furongian,UNIDADE_CRONO,1,"0,9690"
Wavy,ESTRUTURA_FISICA,1,"0,5500"
Coastal,PALEOAMBIENTE,1,"0,5814"
Travertine.,ROCHA,1,"0,9536"
Palaeozoic,UNIDADE_CRONO,1,"0,9862"
Macabu,UNIDADE_LITO,1,"0,4170"
proterozoic,UNIDADE_CRONO,1,"0,8780"
mica,MINERAIS,1,"0,5312"
Baryte,ROCHA,1,"0,7321"
Mgclaystones,ROCHA,1,"0,7875"
"dolomites,",ROCHA,1,"0,9674"
Mg-claystones,ROCHA,1,"0,5414"
"KwanzaBasin,",BACIA,1,"0,8029"
palaeocene,UNIDADE_CRONO,1,"0,6732"
sandstone.,ROCHA,1,"0,7663"
Baciade,BACIA,1,"0,9282"
"Eoaptian,",UNIDADE_CRONO,1,"0,9747"
Santonian-Campanian,UNIDADE_CRONO,1,"0,9797"
"3-BRSA-891A-RJS,",POÇO,1,"0,9818"
travertine.,ROCHA,1,"0,9917"
4-BRSA-1226RJS,POÇO,1,"0,9971"
4-BRSA1226-RJS,POÇO,1,"0,9794"
"9-BRSA-1212-RJS,",POÇO,1,"0,9745"
"4-BRSA-1284-RJS,",POÇO,1,"0,9633"
"3-BRSA-1132-RJS,",POÇO,1,"0,9919"
"3-BRSA-1171D-RJS,",POÇO,1,"0,9801"
"8-ATP-4D-RJS,",POÇO,1,"0,9636"
BarraVelhaFormations,UNIDADE_LITO,1,"0,5123"
"3-BRSA-1243-RJS,",POÇO,1,"0,9660"
"1-BRSA-1146-RJS,",POÇO,1,"0,9340"
9-ATP-3-RJS,POÇO,1,"0,8285"
8-ATP-4D-RJS,POÇO,1,"0,8696"
8-ATP-5-RJS,POÇO,1,"0,7994"
9-BRSA-1212-RJS,POÇO,1,"0,9197"
9-BBG-1D-RJS,POÇO,1,"0,9351"
8-SBBG-1-RJS,POÇO,1,"0,9368"
SF-2,POÇO,1,"0,8762"
3-BRSA-1284-RJS,POÇO,1,"0,9954"
"3-BRSA-1212-RJS,",POÇO,1,"0,9985"
3-BRSA-1284RJS,POÇO,1,"0,9923"
"3BRSA-1181D-RJS,",POÇO,1,"0,8860"
profundal,PALEOAMBIENTE,1,"0,7524"
marls,PALEOAMBIENTE,1,"0,5283"
ridge-type,ESTRUTURA_FISICA,1,"0,4414"
3BRSA-1172-RJS,POÇO,1,"0,9897"
fissure-ridge,ESTRUTURA_FISICA,1,"0,9058"
Fissure,ESTRUTURA_FISICA,1,"0,9025"
gases.,FLUIDODATERRA,1,"0,7744"
aptiana,UNIDADE_CRONO,1,"0,9982"
CampodeSururu.Bachelor,CAMPO,1,"0,9995"
Falhas,ESTRUTURA_FISICA,1,"0,5813"
lacustri,PALEOAMBIENTE,1,"0,7316"
Pampo,CAMPO,1,"0,9704"
Paleocene,UNIDADE_CRONO,1,"0,9919"
Cretaceosuperior.,UNIDADE_CRONO,1,"0,8028"
Neoaptiana,UNIDADE_CRONO,1,"0,9986"
"BaciadoEspiritoSanto,",BACIA,1,"0,9954"
AptianAlagoas,UNIDADE_CRONO,1,"0,8976"
gneisses.,ROCHA,1,"0,6297"
"Santo,",BACIA,1,"0,6113"
Holocene.,UNIDADE_CRONO,1,"0,9919"
Tithonian,UNIDADE_CRONO,1,"0,9889"
Petrobrasia,FOSSEIS,1,"0,6954"
mudrocks,ROCHA,1,"0,9900"
Santos.,BACIA,1,"0,9803"
Quaternary.,UNIDADE_CRONO,1,"0,9997"
igneous,PALEOAMBIENTE,1,"0,6137"
ostracode,FOSSEIS,1,"0,9987"
zircon,MINERAIS,1,"0,9981"
BaciadoReco,BACIA,1,"0,9771"
ncavoTucano.,BACIA,1,"0,7626"
Ostracoda,FOSSEIS,1,"0,9983"
cenozoicos,UNIDADE_CRONO,1,"0,9863"
Ostracodes.,FOSSEIS,1,"0,9786"
BaciadeSergipeAlagoas.,BACIA,1,"0,9997"
rainstones,ROCHA,1,"0,7570"
crinkly,ESTRUTURA_FISICA,1,"0,7218"
"calcimudstones,",ROCHA,1,"0,6086"
peloid,FOSSEIS,1,"0,3192"
GRAINSTONES,ROCHA,1,"0,7889"
cleavage,ESTRUTURA_FISICA,1,"0,8369"
ripple,ESTRUTURA_FISICA,1,"0,7988"
Mississippian-early,UNIDADE_CRONO,1,"0,7551"
Pennsylvanian,UNIDADE_CRONO,1,"0,5511"
3-EQ,POÇO,1,"0,6294"
3-EQNR-3-SPS,POÇO,1,"0,9553"
breccias,ROCHA,1,"0,7251"
3-EQNR-1-SPS.,POÇO,1,"0,9755"
carbonatemound,ROCHA,1,"0,6663"
"carbonatemounds,",ROCHA,1,"0,6138"
2-ANP-2A,POÇO,1,"0,9851"
"3-BRSA-1339A-RJS,",POÇO,1,"0,9990"
"BRSA-1339A-RJS,",POÇO,1,"0,7389"
3-BRSA1322-RJS,POÇO,1,"0,9908"
"3-BRSA-1345-RJS,",POÇO,1,"0,9607"
"3-BRSA-1255-RJS,",POÇO,1,"0,9614"
3-BRSA-1343-RJS.,POÇO,1,"0,9584"
pelecypod,FOSSEIS,1,"0,6707"
BRSA-1267A-RJS,POÇO,1,"0,3876"
3-BRSA-1267ARJS,POÇO,1,"0,9891"
"3-BRSA-1305A-RJS,",POÇO,1,"0,9986"
"3-BRSA-1310-RJS,",POÇO,1,"0,9969"
"3-BRSA-1267A-RJS,",POÇO,1,"0,9984"
"3-BRSA-1310RJS,",POÇO,1,"0,9989"
imestone,ROCHA,1,"0,5095"
Marinha,PALEOAMBIENTE,1,"0,5559"
3-BRSA-1370-SPS,POÇO,1,"0,9985"
3-ESSO-3-SPS,POÇO,1,"0,9966"
3-ESSO-5-SPS,POÇO,1,"0,9957"
1-BRSA-757-SPS,POÇO,1,"0,9979"
Archaean,UNIDADE_CRONO,1,"0,5634"
9-BUZ-4-RJS,POÇO,1,"0,9895"
9-BUZ-4-RJS.,POÇO,1,"0,9901"
"9-BUZ-4-RJS,",POÇO,1,"0,9656"
Gato,CAMPO,1,"0,8586"
"Mato,",CAMPO,1,"0,7842"
Neoaptian,UNIDADE_CRONO,1,"0,9813"
laminite,ROCHA,1,"0,8011"
Intra-Albian,UNIDADE_CRONO,1,"0,9958"
Pelotasbasins,BACIA,1,"0,7582"
maastrichtiano,UNIDADE_CRONO,1,"0,9950"
maastrichtianos,UNIDADE_CRONO,1,"0,9954"
Yacoraite,ROCHA,1,"0,6233"
BaciadeSalta-Argentina,BACIA,1,"0,9995"
Campanian-Turonian,UNIDADE_CRONO,1,"0,9820"
diabases,ROCHA,1,"0,6448"
"basalt,",MINERAIS,1,"0,5710"
Intra-Barremian,UNIDADE_CRONO,1,"0,8725"
3-RJS-625,POÇO,1,"0,9991"
Basalt,ROCHA,1,"0,9827"
"Eocene,",UNIDADE_CRONO,1,"0,9954"
2SEQ5.,POÇO,1,"0,8253"
1SEQ1,POÇO,1,"0,9027"
2SEQ1,POÇO,1,"0,6016"
"folds,",ESTRUTURA_FISICA,1,"0,7258"
granitic,ROCHA,1,"0,7488"
Phitsanulok,BACIA,1,"0,8391"
BarraVelhaFormation.,UNIDADE_LITO,1,"0,8699"
campodeTupi,CAMPO,1,"0,9889"
"fraturas,",ESTRUTURA_FISICA,1,"0,7709"
"BaciadePelotas,",BACIA,1,"0,9997"
Neoproterozoico,UNIDADE_CRONO,1,"0,9983"
Eocreta,UNIDADE_CRONO,1,"0,9781"
"embasamento,",UNIDADE_LITO,1,"0,9958"
neoproterozoicas,UNIDADE_CRONO,1,"0,9859"
BaciasdeCampos,BACIA,1,"0,9998"
zona,ESTRUTURA_FISICA,1,"0,5903"
"falha,",ESTRUTURA_FISICA,1,"0,9992"
halita.,ROCHA,1,"0,9986"
"Eoceno,",UNIDADE_CRONO,1,"0,9997"
"Eoaptiano,",UNIDADE_CRONO,1,"0,9997"
GrupoGuaratiba,UNIDADE_LITO,1,"0,8986"
basaltos,ROCHA,1,"0,9997"
Neocomiano,UNIDADE_CRONO,1,"0,9985"
Neobarremiano-Eoaptiano,UNIDADE_CRONO,1,"0,9935"
lamitos,ROCHA,1,"0,9998"
transicional,PALEOAMBIENTE,1,"0,5678"
"raso,",PALEOAMBIENTE,1,"0,4890"
talco,MINERAIS,1,"0,5582"
bioclastos,FOSSEIS,1,"0,9306"
"Intra-Alagoas,",UNIDADE_CRONO,1,"0,8019"
Velha.,UNIDADE_LITO,1,"0,5634"
"carbonatos,",ROCHA,1,"0,9942"
lacustre,PALEOAMBIENTE,1,"0,9989"
marinho,PALEOAMBIENTE,1,"0,7902"
gipsita,ROCHA,1,"0,8514"
marinha.,PALEOAMBIENTE,1,"0,5698"
Tethyan,UNIDADE_CRONO,1,"0,9655"
Neoaptiano,UNIDADE_CRONO,1,"0,9996"
halita,ROCHA,1,"0,9987"
"taquidrita,",ROCHA,1,"0,8574"
margas,ROCHA,1,"0,9997"
Cenomaniano,UNIDADE_CRONO,1,"0,9999"
marinha,PALEOAMBIENTE,1,"0,9686"
cisalhamento,ESTRUTURA_FISICA,1,"0,9759"
"halita,",ROCHA,1,"0,9975"
Fm.Itapema,UNIDADE_LITO,1,"0,9755"
raso,PALEOAMBIENTE,1,"0,9596"
argilominerais,MINERAIS,1,"0,9216"
magnesianas,ROCHA,1,"0,8266"
litora,PALEOAMBIENTE,1,"0,8931"
embasamento.,UNIDADE_LITO,1,"0,9982"
continental.,PALEOAMBIENTE,1,"0,9303"
"aptianosuperior,",UNIDADE_CRONO,1,"0,8455"
continentais,PALEOAMBIENTE,1,"0,9953"
Cenozoicos,UNIDADE_CRONO,1,"0,9991"
barremian,UNIDADE_CRONO,1,"0,9906"
calcarenites.,ROCHA,1,"0,8888"
Gastropods,FOSSEIS,1,"0,6084"
Ostracod,FOSSEIS,1,"0,9296"
"Calcarenites,",ROCHA,1,"0,7873"
siltite.,ROCHA,1,"0,7676"
siltite,ROCHA,1,"0,6407"
bioclast.,FOSSEIS,1,"0,8810"
dolostone.,ROCHA,1,"0,9582"
Ooid,NAO_CONSOLID,1,"0,5593"
Spherulstone,ROCHA,1,"0,5173"
calcirudite,MINERAIS,1,"0,6824"
"siltstone,",ROCHA,1,"0,9957"
bioclasts.,FOSSEIS,1,"0,4675"
Barravelha,UNIDADE_LITO,1,"0,5690"
carenite,ROCHA,1,"0,8197"
"ripples,",ESTRUTURA_FISICA,1,"0,7829"
"campodeBuzios,",CAMPO,1,"0,9595"
Badejo,CAMPO,1,"0,8627"
BarraVelhaFormation,CAMPO,1,"0,8208"
coquinas-,ROCHA,1,"0,9948"
"camposdeBadejo,",CAMPO,1,"0,7873"
"Trilha,",CAMPO,1,"0,8071"
campos,BACIA,1,"0,9049"
Mangakahia,FOSSEIS,1,"0,8349"
CampodePampo.,CAMPO,1,"0,9986"
Talco,MINERAIS,1,"0,7303"
CampodeMero,CAMPO,1,"0,9103"
"BadejoPampo,",CAMPO,1,"0,9540"
ostracod.,MINERAIS,1,"0,7769"
spherulitestone,ROCHA,1,"0,7833"
Travertine,ROCHA,1,"0,9832"
SB-1,POÇO,1,"0,8917"
travertinos,ROCHA,1,"0,9997"
"Oxfordian,",UNIDADE_CRONO,1,"0,7875"
