Entity,Label,Count,Average_Score
silt,NAO_CONSOLID,8,"0,8521"
"2-ANP-2A-RJS,",POÇO,8,"0,9814"
faults.,ESTRUTURA_FISICA,8,"0,8568"
"Albian,",UNIDADE_CRONO,8,"0,9952"
sandstones,ROCHA,8,"0,7103"
Proterozoic,UNIDADE_CRONO,8,"0,9898"
shells,FOSSEIS,8,"0,5301"
Pleistocene,UNIDADE_CRONO,8,"0,9616"
Rudstone,ROCHA,8,"0,9093"
Aptiano,UNIDADE_CRONO,8,"0,9991"
pre-Alagoas,UNIDADE_CRONO,8,"0,8847"
Bivalve,FOSSEIS,8,"0,9198"
vugular,ESTRUTURA_FISICA,8,"0,5940"
barite,MINERAIS,8,"0,7979"
magnesite,MINERAIS,8,"0,6669"
"micrite,",MINERAIS,7,"0,9191"
3-BRSA-1310-RJS,POÇO,7,"0,9688"
Neocomian,UNIDADE_CRONO,7,"0,9162"
"halite,",ROCHA,7,"0,8414"
faulting.,ESTRUTURA_FISICA,7,"0,7571"
"CampodeBuzios,",CAMPO,7,"0,9894"
Aptian.,UNIDADE_CRONO,7,"0,9932"
chalcedony,ROCHA,7,"0,6609"
Quartz,MINERAIS,7,"0,7787"
,FOSSEIS,7,"0,6970"
Neoproterozoic,UNIDADE_CRONO,7,"0,9724"
feldspar,MINERAIS,7,"0,8248"
Dolostones,ROCHA,7,"0,8102"
"BarraVelha,",UNIDADE_LITO,7,"0,8729"
calcarenite,ROCHA,7,"0,8180"
Shrubstone,ROCHA,7,"0,8562"
Carbonate,ROCHA,7,"0,6388"
lamination,ESTRUTURA_FISICA,7,"0,8846"
basalt,ROCHA,7,"0,7108"
"shrubstone,",ROCHA,7,"0,8043"
SantosBasin,BACIA,7,"0,7993"
Itapema,UNIDADE_LITO,7,"0,5682"
Parana,BACIA,7,"0,8222"
"limestones,",ROCHA,6,"0,9618"
cracks,ESTRUTURA_FISICA,6,"0,9111"
3-BRSA-1339A-RJS,POÇO,6,"0,9491"
3-BRSA-1342A-RJS,POÇO,6,"0,9569"
3-BRSA-1322-RJS,POÇO,6,"0,9628"
4-BRSA-1346-RJS,POÇO,6,"0,9415"
Miocene,UNIDADE_CRONO,6,"0,8016"
"Campos,",BACIA,6,"0,9299"
boundstones,ROCHA,6,"0,6549"
Ostracods,FOSSEIS,6,"0,8384"
waters,FLUIDODATERRA,6,"0,7060"
grainstone.,ROCHA,6,"0,9758"
Mudstone,ROCHA,6,"0,8588"
ostracods.,FOSSEIS,6,"0,9117"
smectite,ROCHA,6,"0,6097"
Intraclastic,FOSSEIS,6,"0,5968"
calcimudstones,ROCHA,6,"0,6315"
dolostones,ROCHA,6,"0,6968"
galena,MINERAIS,6,"0,8715"
Paleozoic,UNIDADE_CRONO,6,"0,9991"
4-BRSA-1226-RJS,POÇO,6,"0,9893"
"falhas,",ESTRUTURA_FISICA,6,"0,9996"
argila,NAO_CONSOLID,6,"0,9996"
"siltites,",ROCHA,6,"0,9495"
Sergipe-Alagoas,BACIA,5,"0,9852"
micrite.,MINERAIS,5,"0,7654"
colluvial,PALEOAMBIENTE,5,"0,7764"
Devonian,UNIDADE_CRONO,5,"0,8690"
"Holkerian,",UNIDADE_CRONO,5,"0,8055"
"3-BRSA-1053-RJS,",POÇO,5,"0,9943"
"2-ANP-1-RJS,",POÇO,5,"0,9953"
8-BUZ-28DA-RJS,POÇO,5,"0,9656"
Valanginian,UNIDADE_CRONO,5,"0,8491"
mollusks,FOSSEIS,5,"0,8847"
Packstone,ROCHA,5,"0,7755"
Bivalves,FOSSEIS,5,"0,9371"
mudstone.,ROCHA,5,"0,8380"
"silt,",NAO_CONSOLID,5,"0,8238"
boundstone,ROCHA,5,"0,5882"
Paleoproterozoic,UNIDADE_CRONO,5,"0,9417"
Cenozoic,UNIDADE_CRONO,5,"0,9975"
-Alagoas,UNIDADE_CRONO,5,"0,5504"
Buracica,UNIDADE_CRONO,5,"0,7209"
"bivalves,",FOSSEIS,5,"0,9957"
dolostone,ROCHA,5,"0,9278"
bioclasts,FOSSEIS,5,"0,6569"
marinhas,PALEOAMBIENTE,5,"0,9989"
ostracodes,FOSSEIS,5,"0,9970"
Quaternary,UNIDADE_CRONO,5,"0,9861"
feldspars,MINERAIS,5,"0,7523"
