Readable_Term,Label,Frequency
3-brsa-1342a-rjs,POÇO,1
3-brsa-1322-rjs,POÇO,1
4-brsa-1346-rjs,POÇO,1
"campos,",BACIA,1
grainstone.,ROCHA,1
ostracods.,FOSSEIS,1
calcimudstones,ROCHA,1
galena,MINERAIS,1
paleozoic,UNIDADE_CRONO,1
4-brsa-1226-rjs,POÇO,1
"falhas,",ESTRUTURA_FISICA,1
"siltites,",ROCHA,1
sergipe-alagoas,BACIA,1
micrite.,MINERAIS,1
colluvial,PALEOAMBIENTE,1
devonian,UNIDADE_CRONO,1
"holkerian,",UNIDADE_CRONO,1
"3-brsa-1053-rjs,",POÇO,1
"2-anp-1-rjs,",POÇO,1
8-buz-28da-rjs,POÇO,1
valanginian,UNIDADE_CRONO,1
mudstone.,ROCHA,1
"silt,",NAO_CONSOLID,1
cenozoic,UNIDADE_CRONO,1
-alagoas,UNIDADE_CRONO,1
buracica,UNIDADE_CRONO,1
"bivalves,",FOSSEIS,1
quaternary,UNIDADE_CRONO,1
silica,MINERAIS,1
"faulting,",ESTRUTURA_FISICA,1
deltas,PALEOAMBIENTE,1
3-brsa-1032-rjs,POÇO,1
1-brsa-1146-rjs,POÇO,1
"mounds,",ESTRUTURA_FISICA,1
embasamento,UNIDADE_LITO,1
folhelhos,ROCHA,1
3-brsa-1305a-rjs,POÇO,1
3-brsa-1255-rjs,POÇO,1
3-brsa-1350-rjs,POÇO,1
pelotasbasin,BACIA,1
3-brsa-1064-rjs,POÇO,1
"8-buz-20-rjs,",POÇO,1
"8-buz-26-rjs,",POÇO,1
"mollusks,",FOSSEIS,1
cambrian,UNIDADE_CRONO,1
basalts.,ROCHA,1
1-brsa-491-sps,POÇO,1
"vugular,",ESTRUTURA_FISICA,1
"claystones,",ROCHA,1
claystones.,ROCHA,1
"baciadecampos,",BACIA,1
"anhydrite,",ROCHA,1
linguado,CAMPO,1
"lamination,",ESTRUTURA_FISICA,1
3-brsa-944a-rjs,POÇO,1
pre,UNIDADE_CRONO,1
"arenites,",ROCHA,1
muscovite,MINERAIS,1
sb-e1,POÇO,1
grain,ROCHA,1
carboniferous,UNIDADE_CRONO,1
salta,BACIA,1
3-brsa-891a-rjs,POÇO,1
jiquia,UNIDADE_CRONO,1
carbonatemounds.,ROCHA,1
floatstones.,ROCHA,1
"siliciclastics,",ROCHA,1
8-buz-26-rjs,POÇO,1
albian.,UNIDADE_CRONO,1
albiano,UNIDADE_CRONO,1
dolomites.,ROCHA,1
"wackestones,",ROCHA,1
coquinas.,ROCHA,1
